is_number,title,reviewed_in,status,department,technical_committee,number_of_revisions,number_of_amendments,type_of_standard,reaffirmation_year,source_url,search_keyword,superseding_is,group,sub_group,sub_sub_group,relevant_ministries,short_common_man_title,certification,search_text,semantic_score,faiss_rank,classification_score,status_score,certification_score,semantic_normalized,classification_normalized,hybrid_score,hybrid_rank,final_rank
IS 8041:2026,Rapid Hardening Portland Cement Specification Third Revision of IS 8041,Unknown,Unknown,Civil Engineering Department(CED),CED 02 - Cement And Concrete,03,No amendment issued,Product Specification,--,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6Im9HVVNDK1ZsQ2ZxZk5TMGgvT0R5RlE9PSIsInZhbHVlIjoiQnM4YnRLc0tGc3d3MUU4UmpkdnNXQT09IiwibWFjIjoiZWIyZTIzNDk4Yzc2ZjFlNjAxYjExMjc2YTUxNWY4MWE1YTExN2E5NWQyMWQxYWY0MGVjZjkzNzQxYmVhNmY0ZiIsInRhZyI6IiJ9&standardNumber=IS%208041:2026,cement,IS 8041:1990,Civil Engineering Design and Construction,Concrete structures,Special Structures,"Ministry of Consumer Affairs, Food and Public Distribution - Department of Consumer Affairs",Unknown,Mandatory Certification,"rapid hardening portland cement specification third revision of is 8041. civil engineering design and construction. concrete structures. special structures. civil engineering department(ced). ced 02 - cement and concrete. product specification. ministry of consumer affairs, food and public distribution - department of consumer affairs",0.55601513,16,0.45560095,0.5,1.0,0.5033049,0.73790604,0.5629993438720704,16,11
IS 8043:2026,Hydrophobic Portland Cement Specification Third Revision of IS 8043,Unknown,Unknown,Civil Engineering Department(CED),CED 02 - Cement And Concrete,03,No amendment issued,Product Specification,--,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6InZsMjN0ZUszK25oOHNjbmlBckw5MlE9PSIsInZhbHVlIjoiZlBXZzRjaFIvMU9UMFVVVmZFc2d0dz09IiwibWFjIjoiOTc2Y2YyZjY5YjM5MDNlNWJhYzA4OTk2NDliNjAyMDViZjJmNDdkMGE2YmQ3ODZlZGQ0YWU4NjFjMzdmYzFlYyIsInRhZyI6IiJ9&standardNumber=IS%208043:2026,cement,IS 8043:1991,Civil Engineering Design and Construction,Concrete structures,Special Structures,"Ministry of Consumer Affairs, Food and Public Distribution - Department of Consumer Affairs",Unknown,Unknown,"hydrophobic portland cement specification third revision of is 8043. civil engineering design and construction. concrete structures. special structures. civil engineering department(ced). ced 02 - cement and concrete. product specification. ministry of consumer affairs, food and public distribution - department of consumer affairs",0.55880606,15,0.45560095,0.5,0.5,0.5178559,0.73790604,0.548185032606125,17,12
IS 16353:2015,Portland Cement Clinker - Specification,2025.0,Current,Civil Engineering Department(CED),CED 02 - Cement And Concrete,New Standard,No amendment issued,Product Specification,"Jun, 2025",https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6ImRPdGcvN2lzeUxZVkVpT2pYQWZiTUE9PSIsInZhbHVlIjoib2RkWjZCTyt1TXFCRDNmSDdYUmVIdz09IiwibWFjIjoiMmJkNjUwNmUzODcyN2Q2Yjg4MWE3YmIxZTI5YjQxNzU4OTBlYTQyOGI4MGVjMzhlMTFkYWUxNTVmZDgxZTU2MiIsInRhZyI6IiJ9&standardNumber=IS%2016353:2015,cement,Not Available,Building Materials including Paints,"Cement, concrete and Allied Products",Cement and its Testing,Ministry of Housing and Urban Affairs,Portland Cement Clinker - Specification,Unknown,"portland cement clinker - specification. building materials including paints. cement, concrete and allied products. cement and its testing. portland cement clinker - specification. civil engineering department(ced). ced 02 - cement and concrete. product specification. ministry of housing and urban affairs",0.513257,27,0.5979374,1.0,0.5,0.2803781,1.0,0.47126466035842896,19,13
IS 8041:1990,Rapid Hardening Portland Cement - Specification (Second Revision),2024.0,Current,Civil Engineering Department(CED),CED 02 - Cement And Concrete,02,04,Product Specification,"Mar, 2024",https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6Imt5SmliNkdSZkpqMzNhalFPN1N3TkE9PSIsInZhbHVlIjoiRXoyK29UbTZKNXZaU0FDNEQ3S1ltdz09IiwibWFjIjoiNTkyZDkwMjA0OTJkODNhNGZhNmE5MjQyMzE2ZDg3ZWJmZTVmZGI4NzAxNDdjNDNmNDE4NTViZjJmYWFjYjQ2MCIsInRhZyI6IiJ9&standardNumber=IS%208041:1990,cement,Not Available,Building Materials including Paints,"Cement, concrete and Allied Products",Cement and its Testing,"Ministry of Commerce and Industry - Department for Promotion of Industry and Internal Trade (DPIIT), Ministry of Housing and Urban Affairs",Rapid hardening Portland cement,Unknown,"rapid hardening portland cement - specification (second revision). building materials including paints. cement, concrete and allied products. cement and its testing. rapid hardening portland cement. civil engineering department(ced). ced 02 - cement and concrete. product specification. ministry of commerce and industry - department for promotion of industry and internal trade (dpiit), ministry of housing and urban affairs",0.51023376,28,0.5979374,1.0,0.5,0.26461577,1.0,0.46023106575012207,21,14
IS/ISO 9917 (Part 1):2007,Dentistry — Water-Based Cements Part 1 Powder/Liquid Acid-Base Cements ( First Revision ),Unknown,Unknown,Medical Equipment And Hospital Planning Department(MHD),MHD 08 - Dentistry,01,No amendment issued,Product Specification,--,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6InNxNmtBL1Q4dUtJTHkwdC95TUovZ0E9PSIsInZhbHVlIjoiWUh6eVlqK0FhSjhkUEdneGpvblVsUT09IiwibWFjIjoiMWJlNmRlOWNhNmEwNThiZDFkNTBiYjhjZDAxNzk4Y2ViOTQwOWM0MzNiMTE0NWUwNzBhYTFlMjAxYzlkNjFhMiIsInRhZyI6IiJ9&standardNumber=IS%2FISO%209917%20(Part%201):2007,cement,Not Available,Medical and Hospital Equipments,Dentistry instruments/equipment and accessories,Filling and restorative materials,Ministry of Health and Family Welfare,Dentistry - Water-based cement Powder/liquid acid-base cements for filling,Unknown,dentistry — water-based cements part 1 powder/liquid acid-base cements ( first revision ). medical and hospital equipments. dentistry instruments/equipment and accessories. filling and restorative materials. dentistry - water-based cement powder/liquid acid-base cements for filling. medical equipment and hospital planning department(mhd). mhd 08 - dentistry. product specification. ministry of health and family welfare,0.5213754,24,0.33155385,0.5,0.5,0.32270476,0.5094895,0.37731675505638124,24,15
IS 3466:2026,Masonry cement - Specification,Unknown,Unknown,Civil Engineering Department(CED),CED 02 - Cement And Concrete,03,No amendment issued,Product Specification,--,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6InBsMVhjd1crNVJEdHZmQWEzMnhyRHc9PSIsInZhbHVlIjoiMjYvSy9EWFJzYTRDU0JFbUNnMHBVZz09IiwibWFjIjoiNTEwMDBlMjhjMzIwODBiODkzNmQ4NzUwZmQ1OGVhMzZlYWYzOWVmOGNhNDkzNGVjZmUzMTAxZWQ2ZWIzODYzMiIsInRhZyI6IiJ9&standardNumber=IS%203466:2026,cement,IS 3466:1988,Civil Engineering Design and Construction,Concrete structures,Special Structures,"Ministry of Consumer Affairs, Food and Public Distribution - Department of Food and Public Distribution",Unknown,Unknown,"masonry cement - specification. civil engineering design and construction. concrete structures. special structures. civil engineering department(ced). ced 02 - cement and concrete. product specification. ministry of consumer affairs, food and public distribution - department of food and public distribution",0.5099222,29,0.45560095,0.5,0.5,0.26299143,0.73790604,0.36977989673614503,25,16
IS 9142 (Part 1):2018,Artificial Lightweight Aggregate for Concrete - Specification: Part 1 For Concrete Masonry Blocks and for applications other than for Structural Concrete (First Revision),2023.0,Current,Civil Engineering Department(CED),CED 02 - Cement And Concrete,New Standard,No amendment issued,Product Specification,"Jun, 2023",https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IlBYRldNTDNxRnE4d3ozeEhVWEhiSnc9PSIsInZhbHVlIjoiNUlqS2J5bklPcSthSzhUYjZBYXdQUT09IiwibWFjIjoiNzQ5M2MwMDg5ZjBjMzQ2MjI5ODkxMGVlZjUxZTE0YTE5NTdjMmRlYmIzYzU1YWM2NjFmNzdmMjk5ZmFjM2FlZSIsInRhZyI6IiJ9&standardNumber=IS%209142%20(Part%201):2018,concrete,Not Available,Building Materials including Paints,"Cement, concrete and Allied Products","Concrete, Concrete admixrurers & additives and testing","Ministry of Consumer Affairs, Food and Public Distribution - Department of Consumer Affairs",Unknown,Unknown,"artificial lightweight aggregate for concrete - specification: part 1 for concrete masonry blocks and for applications other than for structural concrete (first revision). building materials including paints. cement, concrete and allied products. concrete, concrete admixrurers & additives and testing. civil engineering department(ced). ced 02 - cement and concrete. product specification. ministry of consumer affairs, food and public distribution - department of consumer affairs",0.48694316,31,0.553007,1.0,0.5,0.14318617,0.9172666,0.3628202974796295,26,17
IS 6452:2026,High Alumina Cement for Structural Use - Specification (Second Revision),Unknown,Unknown,Civil Engineering Department(CED),CED 02 - Cement And Concrete,02,No amendment issued,Product Specification,--,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IlVBYTFsNDdQVzg5aVE1QWNGSmErdmc9PSIsInZhbHVlIjoieTQ2TWZaZlU3VDlzaTI4MWs3cXhoZz09IiwibWFjIjoiZWZmYTY3ZDlmZDhhMTA5ODAxNjBhYTMxY2YxNWMwMjVmYWI4OWYyNGI5NWY2NDgwYjgzMmExMmNkZmQxMTI3ZiIsInRhZyI6IiJ9&standardNumber=IS%206452:2026,cement,IS 6452:1989,Civil Engineering Design and Construction,Concrete structures,Special Structures,"Ministry of Consumer Affairs, Food and Public Distribution - Department of Consumer Affairs",Unknown,Mandatory Certification,"high alumina cement for structural use - specification (second revision). civil engineering design and construction. concrete structures. special structures. civil engineering department(ced). ced 02 - cement and concrete. product specification. ministry of consumer affairs, food and public distribution - department of consumer affairs",0.49846336,30,0.45560095,0.5,1.0,0.20324877,0.73790604,0.35296005606651304,27,18
IS 1592:2003,Asbestos cement pressure pipes and joints - Specification (Fourth Revision),2023.0,Current,Civil Engineering Department(CED),CED 53 - Cement Matrix Products,04,03,Product Specification,"Nov, 2023",https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IlVrcEh3d3NIVnhURWd6cVViRE1hc3c9PSIsInZhbHVlIjoiYVdnTTRieDVtVXJ1ZGlZODNrL3NOUT09IiwibWFjIjoiZTg5ZGY3NTAwYjk3ZDU2NGQzNTAzNDA2MGYyNDNhNDNkNGE0ZWI2ODJkMzU0MWI2YWMxZDhkYzEyOTJiZmFkMCIsInRhZyI6IiJ9&standardNumber=IS%201592:2003,cement,Not Available,Civil Engineering Design and Construction,Concrete structures,Prefabricated Construction,Unknown,Asbestos Cement Pressure Pipes and Joints -,Mandatory Certification,asbestos cement pressure pipes and joints - specification (fourth revision). civil engineering design and construction. concrete structures. prefabricated construction. asbestos cement pressure pipes and joints -. civil engineering department(ced). ced 53 - cement matrix products. product specification,0.47468564,36,0.43294084,1.0,1.0,0.07927948,0.6961804,0.3099227041006088,28,19
IS 2185 (Part 4):2008,Concrete masonry units - Specification: Part 4 preformed foam cellular concrete blocks,2024.0,Current,Civil Engineering Department(CED),CED 53 - Cement Matrix Products,New Standard,No amendment issued,Product Specification,"Dec, 2024",https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IlZ2TExwWVlSbUhZTWwyVzQvOHhZcUE9PSIsInZhbHVlIjoiK20vTGwySzBVdUM3alJvVmlOakJRdz09IiwibWFjIjoiMzBlMjAzMTljMjdmOWE4NDhkNGNkYTIxNmZiNTdjZTU4OWY1ODgwODA0MDE3ODNmZDkyYzMwYzkyNTU2ODE3NiIsInRhZyI6IiJ9&standardNumber=IS%202185%20(Part%204):2008,concrete,Not Available,Civil Engineering Design and Construction,Concrete structures,Prefabricated Construction,Unknown,Concrete masonry units - : Part 4 Preformed foam cellular concrete blocks,Unknown,concrete masonry units - specification: part 4 preformed foam cellular concrete blocks. civil engineering design and construction. concrete structures. prefabricated construction. concrete masonry units - : part 4 preformed foam cellular concrete blocks. civil engineering department(ced). ced 53 - cement matrix products. product specification,0.4781126,33,0.43294093,1.0,0.5,0.09714658,0.6961806,0.297429695725441,29,20
IS 6908:1991,Asbestos - Cement pipes and fitkIngs for sewerage and drainage - Specification (First Revision),2022.0,Current,Civil Engineering Department(CED),CED 53 - Cement Matrix Products,01,01,Product Specification,"Jan, 2022",https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6ImxiWUZtRGZOYjc5RGx3MTg5MkRVTVE9PSIsInZhbHVlIjoiaiszUHkzVi9KVER2dEJ3aTdYZ1Fmdz09IiwibWFjIjoiMDBkMmRlYTkzNWMwMzQ0NmQxZjY4YzNiNzFjNGQ1MTA2YmFkMThhNzU0YzQyOGRmNWI3NzY5NmE2NDE1YWE0NSIsInRhZyI6IiJ9&standardNumber=IS%206908:1991,cement,Not Available,Civil Engineering Design and Construction,Concrete structures,Prefabricated Construction,Unknown,asbestos cement pipes and fittings for sewerage and drainage,Mandatory Certification,asbestos - cement pipes and fitkings for sewerage and drainage - specification (first revision). civil engineering design and construction. concrete structures. prefabricated construction. asbestos cement pipes and fittings for sewerage and drainage. civil engineering department(ced). ced 53 - cement matrix products. product specification,0.47054866,37,0.43294084,1.0,1.0,0.057710618,0.6961804,0.29482448995113375,30,21
SP 23:1982,Handbook on Concrete Mixes,Unknown,Unknown,Civil Engineering Department(CED),CED 02 - Cement And Concrete,New Standard,No amendment issued,Others,--,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IkJ2ZG5lNDQwOW9pN2tLTGZGVUYvZGc9PSIsInZhbHVlIjoiTkM2d2lWOURDdHJLcUFEZm8rdzBXQT09IiwibWFjIjoiZjI3MzE2OTE2ODk5ZTJhYzQ0M2U3ZGY2ZTRiMzJmY2IxMmI2Y2IyY2ZjZWI5YmQ2NjNhZjk1M2Q2ODIyNjA4YSIsInRhZyI6IiJ9&standardNumber=SP%2023:1982,concrete,Not Available,Building Materials including Paints,"Cement, concrete and Allied Products","Concrete, Concrete admixrurers & additives and testing",Unknown,Handbook on Concrete Mixes,Unknown,"handbook on concrete mixes. building materials including paints. cement, concrete and allied products. concrete, concrete admixrurers & additives and testing. handbook on concrete mixes. civil engineering department(ced). ced 02 - cement and concrete. others",0.47779873,34,0.553007,0.5,0.5,0.09551012,0.9172666,0.27944707572460176,31,22
IS 1626 (Part 2):1994,"Asbestos cement building pipes and pipe fittings, gutters and gutter fittings and roofing fittings: Part 2 gutter and gutter fittings) (Second Revision)",2025.0,Current,Civil Engineering Department(CED),CED 53 - Cement Matrix Products,02,01,Product Specification,"Aug, 2025",https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IjFPTE1VZkF0Qi9GMHpXTHRtOFJnMFE9PSIsInZhbHVlIjoiZUhNL1l5aU5BT2I0UHpubVp3ckwvUT09IiwibWFjIjoiMmQxYjM1OWQ4ZDU3MGNmYzQ0YWQxZjM4ZmNmMjY0ZDg3MzM0YTUwNmU4N2JmOGIyNTZjMWRjZmM2Yjg4ZDIyMyIsInRhZyI6IiJ9&standardNumber=IS%201626%20(Part%202):1994,cement,Not Available,Civil Engineering Design and Construction,Concrete structures,Prefabricated Construction,Unknown,"Asbestos cement building pipes and pipe fittings, gutters and gutter fittings and roofing fittings -",Voluntary Certification,"asbestos cement building pipes and pipe fittings, gutters and gutter fittings and roofing fittings: part 2 gutter and gutter fittings) (second revision). civil engineering design and construction. concrete structures. prefabricated construction. asbestos cement building pipes and pipe fittings, gutters and gutter fittings and roofing fittings -. civil engineering department(ced). ced 53 - cement matrix products. product specification",0.4697218,38,0.43294093,1.0,0.7,0.05339961,0.6961806,0.27680681109428407,32,23
